frame#,time,uid,x1,y1,x2,y2,lidar_d(ft),grnd_angle_d(ft),
20,2017-07-19 11:20:39.008,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
21,2017-07-19 11:20:39.048,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
21,2017-07-19 11:20:39.048,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
22,2017-07-19 11:20:39.090,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
22,2017-07-19 11:20:39.090,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
23,2017-07-19 11:20:39.131,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
23,2017-07-19 11:20:39.131,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,720.547119141,171.918869019,763.111206055,212.769805908,12345,25.8495324396,
24,2017-07-19 11:20:39.173,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
24,2017-07-19 11:20:39.173,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,720.547119141,171.918869019,763.111206055,212.769805908,12345,25.8495324396,
25,2017-07-19 11:20:39.216,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,714.461547852,169.49546814,761.601928711,212.559341431,12345,25.8751272138,
26,2017-07-19 11:20:39.256,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,714.461547852,169.49546814,761.601928711,212.559341431,12345,25.8751272138,
27,2017-07-19 11:20:39.298,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
28,2017-07-19 11:20:39.338,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
29,2017-07-19 11:20:39.385,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
30,2017-07-19 11:20:39.425,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
31,2017-07-19 11:20:39.467,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
32,2017-07-19 11:20:39.508,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,704.612792969,167.961593628,750.166015625,208.79069519,12345,26.3421700617,
33,2017-07-19 11:20:39.552,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,704.612792969,167.961593628,750.166015625,208.79069519,12345,26.3421700617,
34,2017-07-19 11:20:39.594,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,704.612792969,167.961593628,750.166015625,208.79069519,12345,26.3421700617,
35,2017-07-19 11:20:39.636,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,703.386474609,167.805130005,749.105041504,208.8621521,12345,26.3331577536,
36,2017-07-19 11:20:39.676,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,703.386474609,167.805130005,749.105041504,208.8621521,12345,26.3331577536,
37,2017-07-19 11:20:39.719,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.278137207,167.860183716,745.245849609,208.881729126,12345,26.3306897306,
38,2017-07-19 11:20:39.760,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,700.744873047,167.849304199,745.090026855,208.585754395,12345,26.3680519121,
39,2017-07-19 11:20:39.806,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,699.981872559,169.453918457,742.923156738,208.309692383,12345,26.4029961212,
40,2017-07-19 11:20:39.849,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.214233398,170.344665527,745.08026123,208.207778931,12345,26.4159198482,
41,2017-07-19 11:20:39.890,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.214233398,170.344665527,745.08026123,208.207778931,12345,26.4159198482,
42,2017-07-19 11:20:39.934,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.214233398,170.344665527,745.08026123,208.207778931,12345,26.4159198482,
43,2017-07-19 11:20:39.978,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
44,2017-07-19 11:20:40.022,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
45,2017-07-19 11:20:40.073,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
46,2017-07-19 11:20:40.120,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
47,2017-07-19 11:20:40.161,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
48,2017-07-19 11:20:40.209,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
49,2017-07-19 11:20:40.250,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
50,2017-07-19 11:20:40.289,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
51,2017-07-19 11:20:40.322,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
52,2017-07-19 11:20:40.365,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
